sample_id,wav_path,start_time,end_time,tone,vowel,char,pinyin,region,site,speaker_id,paper_region,f1_mean_hz,f1_std_hz,f2_mean_hz,f2_std_hz,f3_mean_hz,f3_std_hz
0712_row_00000010,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0033.wav,1.09099,1.41095,低元音,a,沙,,01当涂,01塘南,001徐大保,01当涂,705.4728393554688,275.78924560546875,1340.813232421875,238.52142333984375,2229.5478515625,353.3651123046875
0712_row_00000011,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0034.wav,0.99164,1.26665,低元音,a,假,201DTtnlm10034假,01当涂,01塘南,001徐大保,01当涂,570.3480224609375,217.2298583984375,1085.7789306640625,351.3104553222656,1969.993408203125,616.5392456054688
0712_row_00000012,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0035.wav,1.1302,1.38455,低元音,a,嫁,201DTtnlm10035嫁,01当涂,01塘南,001徐大保,01当涂,569.2159423828125,256.9454040527344,1048.5687255859375,200.10255432128906,1837.7279052734375,646.6056518554688
0712_row_00000013,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0041.wav,1.11469,1.36761,中低元音,ɛ,姐,201DTtnlm10041姐,01当涂,01塘南,001徐大保,01当涂,518.200439453125,188.81124877929688,991.9559936523438,282.8207702636719,1734.8192138671875,499.53143310546875
0712_row_00000014,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0042.wav,0.94364,1.23208,中低元音,ɛ,借,201DTtnlm10042借,01当涂,01塘南,001徐大保,01当涂,368.2304382324219,136.41624450683594,1425.723388671875,625.4448852539062,2290.905517578125,228.09141540527344
0712_row_00000015,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0043.wav,0.80327,1.07929,中低元音,ɛ,写,,01当涂,01塘南,001徐大保,01当涂,457.4300231933594,156.5503387451172,1555.22412109375,562.3114013671875,2422.19384765625,323.0486145019531
0712_row_00000016,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0045.wav,0.88354,1.20527,中低元音,ɛ,谢,,01当涂,01塘南,001徐大保,01当涂,372.2544250488281,282.4300537109375,1280.104248046875,790.2064819335938,2636.57568359375,504.7517395019531
0712_row_00000017,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0046.wav,0.74715,1.02138,中高元音,ə,车,201DTtnlm10046车,01当涂,01塘南,001徐大保,01当涂,564.153076171875,168.82933044433594,1779.7091064453125,401.7799072265625,2390.572021484375,208.09898376464844
0712_row_00000018,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0047.wav,0.86586,1.18885,中高元音,ə,蛇,,01当涂,01塘南,001徐大保,01当涂,793.4758911132812,238.34608459472656,1384.6214599609375,189.30447387695312,2417.811767578125,319.3265380859375
0712_row_00000019,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0047.wav,2.56214,2.95806,中高元音,ə,蛇,,01当涂,01塘南,001徐大保,01当涂,542.6256103515625,152.39889526367188,1637.825927734375,481.7071838378906,2367.82861328125,287.2801818847656
0712_row_00000020,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0048.wav,0.8123,1.14797,中高元音,ə,射,,01当涂,01塘南,001徐大保,01当涂,420.15313720703125,90.20952606201172,1384.6904296875,540.3773803710938,2114.30322265625,211.9684295654297
0712_row_00000021,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0049.wav,0.7423,1.0878,中高元音,ə,爷,201DTtnlm10049爷,01当涂,01塘南,001徐大保,01当涂,784.8096313476562,295.5478210449219,1558.5126953125,366.49462890625,2504.1005859375,460.1296691894531
0712_row_00000022,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0050.wav,1.07557,1.3824,中低元音,ɛ,野,201DTtnlm10050野,01当涂,01塘南,001徐大保,01当涂,362.9056701660156,112.93702697753906,1480.953369140625,405.7725830078125,2513.97705078125,393.4586486816406
0712_row_00000023,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0051.wav,0.93401,1.21316,中高元音,ə,夜,201DTtnlm10051夜,01当涂,01塘南,001徐大保,01当涂,729.7222290039062,223.7873992919922,1318.841796875,434.8465270996094,2215.496826171875,464.65020751953125
0712_row_00000024,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0052.wav,1.01625,1.30681,低元音,a,瓜,201DTtnlm10052瓜,01当涂,01塘南,001徐大保,01当涂,743.6731567382812,221.40347290039062,1105.6414794921875,246.50074768066406,2413.97412109375,435.4150390625
0712_row_00000025,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0054.wav,1.02801,1.30961,低元音,a,花,201DTtnlm10054花,01当涂,01塘南,001徐大保,01当涂,681.4263916015625,241.2243194580078,1115.700439453125,265.0504150390625,2208.943359375,618.3907470703125
0712_row_00000026,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0055.wav,0.82647,1.15318,低元音,a,化,201DTtnlm10055化,01当涂,01塘南,001徐大保,01当涂,591.0039672851562,150.54136657714844,966.1232299804688,207.23252868652344,1689.58984375,505.83642578125
0712_row_00000027,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0056.wav,0.92611,1.29294,低元音,a,华,201DTtnlm10056华,01当涂,01塘南,001徐大保,01当涂,719.8126220703125,280.9073791503906,1197.3609619140625,234.09767150878906,2328.49609375,579.468505859375
0712_row_00000028,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0058.wav,1.04334,1.30222,高元音,u,布,201DTtnlm10058布,01当涂,01塘南,001徐大保,01当涂,377.7107849121094,81.39093780517578,832.248779296875,99.09457397460938,1621.7042236328125,649.039306640625
0712_row_00000029,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0059.wav,0.96777,1.24766,高元音,u,铺,201DTtnlm10059铺,01当涂,01塘南,001徐大保,01当涂,386.30279541015625,293.787109375,950.935302734375,319.7690124511719,2449.449951171875,337.8189392089844
0712_row_00000030,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0060.wav,1.05157,1.31464,低元音,a,薄,201DTtnlm10060薄,01当涂,01塘南,001徐大保,01当涂,392.5180969238281,81.21759033203125,846.5066528320312,24.842741012573242,2361.21435546875,313.2856140136719
0712_row_00000031,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0065.wav,0.99905,1.24806,高元音,u,杜,201DTtnlm10065杜,01当涂,01塘南,001徐大保,01当涂,309.01910400390625,50.740699768066406,645.786865234375,194.0802001953125,1837.122802734375,749.2162475585938
0712_row_00000032,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0068.wav,1.12672,1.42378,高元音,u,租,201DTtnlm10068租,01当涂,01塘南,001徐大保,01当涂,340.4488830566406,178.2019805908203,1566.578369140625,360.00970458984375,2329.025146484375,122.04216003417969
0712_row_00000033,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0068.wav,2.7633,3.14835,高元音,u,租,清平精遇合一模,01当涂,01塘南,001徐大保,01当涂,453.3665466308594,306.90374755859375,963.6429443359375,481.21600341796875,2545.66259765625,448.22296142578125
0712_row_00000034,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0072.wav,1.08713,1.31946,高元音,u,古,201DTtnlm10072古,01当涂,01塘南,001徐大保,01当涂,340.01025390625,67.88639831542969,723.7335205078125,77.15524291992188,1352.50244140625,460.8736877441406
0712_row_00000035,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0076.wav,1.00742,1.26958,高元音,u,五,201DTtnlm10076五,01当涂,01塘南,001徐大保,01当涂,290.43206787109375,48.762229919433594,688.4033813476562,187.91775512695312,1525.9268798828125,806.8624877929688
0712_row_00000036,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0079.wav,1.14828,1.43284,高元音,u,户,,01当涂,01塘南,001徐大保,01当涂,294.35333251953125,78.61676025390625,712.9020385742188,144.1687774658203,2089.613525390625,670.1946411132812
0712_row_00000037,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0080.wav,0.78948,1.09998,高元音,u,乌,201DTtnlm10080乌,01当涂,01塘南,001徐大保,01当涂,235.9469451904297,30.606611251831055,811.9879150390625,70.13360595703125,2003.3826904296875,641.4743041992188
0712_row_00000038,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0081.wav,0.96471,1.23526,高元音,y,女,201DTtnlm10081女A,01当涂,01塘南,001徐大保,01当涂,432.43853759765625,160.68658447265625,1166.6595458984375,780.8473510742188,2241.501953125,232.83450317382812
0712_row_00000039,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0081.wav,1.96152,2.30649,高元音,y,女,,01当涂,01塘南,001徐大保,01当涂,277.3805236816406,95.87312316894531,629.82861328125,514.3846435546875,1895.1239013671875,228.56185913085938
0712_row_00000040,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0084.wav,1.15123,1.41729,高元音,u,猪,201DTtnlm10084猪,01当涂,01塘南,001徐大保,01当涂,348.87939453125,63.632728576660156,1136.1217041015625,375.0755920410156,2255.864990234375,267.991943359375
0712_row_00000041,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0085.wav,0.92854,1.22769,高元音,u,除,,01当涂,01塘南,001徐大保,01当涂,287.4380187988281,105.76386260986328,1042.720703125,464.7581787109375,1992.3895263671875,433.993896484375
0712_row_00000042,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0086.wav,0.91868,1.23967,高元音,u,初,,01当涂,01塘南,001徐大保,01当涂,377.45849609375,233.42459106445312,963.0717163085938,470.5908508300781,2460.6484375,330.1994323730469
0712_row_00000043,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0087.wav,1.00832,1.36575,中高元音,o,锄,,01当涂,01塘南,001徐大保,01当涂,321.33489990234375,81.55122375488281,1149.5325927734375,413.30035400390625,2173.544677734375,606.0962524414062
0712_row_00000044,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0088.wav,0.59656,0.95368,高元音,u,所,,01当涂,01塘南,001徐大保,01当涂,349.26947021484375,165.93014526367188,978.054931640625,529.71923828125,1855.6201171875,853.065673828125
0712_row_00000045,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0089.wav,0.99856,1.36963,高元音,u,书,,01当涂,01塘南,001徐大保,01当涂,319.40924072265625,237.1543731689453,1205.9371337890625,422.423828125,2172.25537109375,418.8349304199219
0712_row_00000046,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0090.wav,0.98869,1.25437,高元音,u,鼠,201DTtnlm10090鼠,01当涂,01塘南,001徐大保,01当涂,410.7016906738281,173.91143798828125,1098.8154296875,463.8597717285156,2021.8431396484375,392.7241516113281
0712_row_00000047,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0092.wav,1.08152,1.36223,高元音,y,举,,01当涂,01塘南,001徐大保,01当涂,371.27764892578125,192.885009765625,1045.80908203125,450.9015197753906,1771.5343017578125,278.4711608886719
0712_row_00000048,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0093.wav,1.24503,1.52603,高元音,y,锯,201DTtnlm10093锯,01当涂,01塘南,001徐大保,01当涂,334.1621398925781,80.61363983154297,980.4124145507812,445.9835205078125,1882.3370361328125,230.62599182128906
0712_row_00000049,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0094.wav,1.67365,1.90851,高元音,y,去,201DTtnlm10094去,01当涂,01塘南,001徐大保,01当涂,315.3659973144531,105.23982238769531,1253.8740234375,816.81591796875,2448.362060546875,310.20904541015625
0712_row_00000050,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0095.wav,1.03599,1.31913,高元音,y,渠,201DTtnlm10095渠,01当涂,01塘南,001徐大保,01当涂,252.84019470214844,71.28699493408203,1407.0982666015625,558.7313232421875,2000.0079345703125,256.4946594238281
0712_row_00000051,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0096.wav,0.86749,1.20523,高元音,y,鱼,201DTtnlm10096鱼,01当涂,01塘南,001徐大保,01当涂,294.1611022949219,37.71926498413086,1104.5389404296875,266.4894104003906,2005.6134033203125,352.25494384765625
0712_row_00000052,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0097.wav,0.43596,0.74853,高元音,y,许,,01当涂,01塘南,001徐大保,01当涂,330.3006896972656,313.2859191894531,1319.32421875,506.3690185546875,2118.2958984375,413.6525573730469
0712_row_00000053,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0098.wav,0.80766,1.15234,高元音,y,余,201DTtnlm10098余,01当涂,01塘南,001徐大保,01当涂,286.21990966796875,45.98623275756836,1195.830810546875,276.917724609375,1935.9873046875,308.7642517089844
0712_row_00000054,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0099.wav,0.8156,1.13785,高元音,y,府,,01当涂,01塘南,001徐大保,01当涂,283.1343994140625,88.8797378540039,799.614013671875,210.61221313476562,1662.082275390625,544.6881713867188
0712_row_00000055,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0100.wav,1.03893,1.41759,高元音,y,付,,01当涂,01塘南,001徐大保,01当涂,280.9254455566406,82.94852447509766,813.5799560546875,350.25921630859375,1646.3624267578125,714.7178344726562
0712_row_00000056,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0101.wav,0.62023,0.99585,高元音,y,父,,01当涂,01塘南,001徐大保,01当涂,303.44189453125,78.8259506225586,935.5499877929688,393.0486145019531,2357.935302734375,590.483154296875
0712_row_00000057,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0102.wav,0.92958,1.21893,高元音,u,武,201DTtnlm10102武,01当涂,01塘南,001徐大保,01当涂,288.2561340332031,36.69436264038086,756.7042236328125,56.14580154418945,1600.763671875,466.6527404785156
0712_row_00000058,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0103.wav,0.99712,1.35761,高元音,y,雾,201DTtnlm10103雾,01当涂,01塘南,001徐大保,01当涂,272.5903625488281,63.56193923950195,692.0982055664062,134.92623901367188,1776.1414794921875,654.7889404296875
0712_row_00000059,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0104.wav,0.95853,1.28934,高元音,y,取,,01当涂,01塘南,001徐大保,01当涂,449.1985778808594,155.03024291992188,1431.050048828125,425.7801818847656,2460.8876953125,496.6302185058594
0712_row_00000060,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0105.wav,0.86277,1.21325,高元音,u,柱,,01当涂,01塘南,001徐大保,01当涂,300.3480224609375,74.11261749267578,1356.399169921875,328.73785400390625,2324.67822265625,381.20709228515625
0712_row_00000061,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0106.wav,1.02082,1.42635,高元音,u,住,,01当涂,01塘南,001徐大保,01当涂,234.95225524902344,54.70197677612305,1070.330078125,457.5489196777344,2093.084228515625,468.755615234375
0712_row_00000062,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0107.wav,0.93375,1.2629,高元音,u,数,,01当涂,01塘南,001徐大保,01当涂,322.2311096191406,103.49855041503906,944.1751708984375,457.3894348144531,1771.1292724609375,814.5987548828125
0712_row_00000063,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0108.wav,0.97196,1.29731,高元音,u,数,,01当涂,01塘南,001徐大保,01当涂,369.28692626953125,164.83905029296875,1076.030517578125,465.0423889160156,2312.5048828125,669.7142944335938
0712_row_00000064,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0109.wav,0.95051,1.19986,高元音,u,主,201DTtnlm10109主,01当涂,01塘南,001徐大保,01当涂,307.6395568847656,229.1951446533203,1076.9300537109375,544.3660278320312,1830.0869140625,333.5892333984375
0712_row_00000065,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0110.wav,0.72414,1.11291,高元音,u,输,,01当涂,01塘南,001徐大保,01当涂,287.0852966308594,275.7173156738281,1517.1982421875,394.18157958984375,2087.769775390625,263.454833984375
0712_row_00000066,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0111.wav,0.83412,1.14431,高元音,u,竖,,01当涂,01塘南,001徐大保,01当涂,277.9815368652344,78.71156311035156,1142.4908447265625,405.2308654785156,2063.682861328125,390.1457824707031
0712_row_00000067,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0112.wav,1.10374,1.42495,高元音,u,树,,01当涂,01塘南,001徐大保,01当涂,282.6566162109375,109.60096740722656,1206.9373779296875,501.2591552734375,2082.773193359375,408.23583984375
0712_row_00000068,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0113.wav,0.95434,1.28558,高元音,y,句,201DTtnlm10113句,01当涂,01塘南,001徐大保,01当涂,324.9852294921875,101.04060363769531,1253.55126953125,417.6371765136719,1886.1971435546875,248.0592498779297
0712_row_00000069,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0114.wav,0.84795,1.22662,高元音,y,区,,01当涂,01塘南,001徐大保,01当涂,345.17156982421875,224.82711791992188,1479.025634765625,357.8150634765625,1975.86279296875,255.17105102539062
0712_row_00000070,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0115.wav,1.11015,1.45971,高元音,y,遇,201DTtnlm10115遇,01当涂,01塘南,001徐大保,01当涂,279.8331298828125,53.762428283691406,820.3641967773438,462.03564453125,1688.5887451171875,422.6350402832031
0712_row_00000071,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0116.wav,1.1604,1.42671,高元音,y,雨,201DTtnlm10116雨,01当涂,01塘南,001徐大保,01当涂,285.2916564941406,71.1117935180664,652.3435668945312,378.5373840332031,1690.638671875,287.6346130371094
0712_row_00000072,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0117.wav,0.9485,1.27172,高元音,y,芋,201DTtnlm10117芋,01当涂,01塘南,001徐大保,01当涂,277.55926513671875,46.48201370239258,844.9802856445312,522.826171875,1743.9534912109375,275.14263916015625
0712_row_00000073,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0120.wav,0.87592,1.19442,低元音,a,台,201DTtnlm10120台,01当涂,01塘南,001徐大保,01当涂,517.2000122070312,162.8527374267578,1511.939697265625,535.6624755859375,2276.6220703125,314.5921630859375
0712_row_00000074,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0124.wav,0.82983,1.24724,低元音,a,财,201DTtnlm10124财,01当涂,01塘南,001徐大保,01当涂,506.572998046875,218.56234741210938,1365.3577880859375,516.9181518554688,2279.80859375,406.96295166015625
0712_row_00000075,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0127.wav,0.89505,1.14879,低元音,a,开,201DTtnlm10127开,01当涂,01塘南,001徐大保,01当涂,441.0827941894531,215.2374725341797,1369.334228515625,571.8839111328125,2192.043212890625,330.20416259765625
0712_row_00000076,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0130.wav,1.11084,1.34025,中高元音,e,贝,201DTtnlm10130贝,01当涂,01塘南,001徐大保,01当涂,316.4112243652344,51.340362548828125,1398.2987060546875,868.8480834960938,2437.892578125,597.639892578125
0712_row_00000077,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0134.wav,0.86752,1.10054,低元音,a,拜,201DTtnlm10134拜,01当涂,01塘南,001徐大保,01当涂,488.7120056152344,225.53689575195312,1321.8538818359375,521.0786743164062,2246.999267578125,357.0177307128906
0712_row_00000078,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0137.wav,0.5478,0.85194,中低元音,ɛ,戒,201DTtnlm10137戒,01当涂,01塘南,001徐大保,01当涂,429.42913818359375,170.0492401123047,1149.486572265625,636.1580810546875,2208.693115234375,374.1908874511719
0712_row_00000079,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0138.wav,1.21419,1.41816,低元音,a,摆,201DTtnlm10138摆,01当涂,01塘南,001徐大保,01当涂,445.77923583984375,103.42395782470703,777.6680297851562,359.6397705078125,1874.01953125,288.38006591796875
0712_row_00000080,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0145.wav,0.96118,1.2741,中低元音,ɛ,街,201DTtnlm10145街,01当涂,01塘南,001徐大保,01当涂,545.401123046875,101.31978607177734,1859.4620361328125,392.8746032714844,2323.67236328125,171.6840057373047
0712_row_00000081,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0146.wav,0.8356,1.07183,中低元音,ɛ,解,201DTtnlm10146解,01当涂,01塘南,001徐大保,01当涂,473.0083923339844,162.27264404296875,1066.0667724609375,541.366455078125,2007.0548095703125,281.4151611328125
0712_row_00000082,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0147.wav,0.88028,1.23545,中低元音,ɛ,鞋,201DTtnlm10147鞋,01当涂,01塘南,001徐大保,01当涂,577.0106201171875,225.1833038330078,1498.75,511.05474853515625,2372.22607421875,359.01025390625
0712_row_00000083,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0148.wav,0.85889,1.15065,中高元音,e,蟹,201DTtnlm10148蟹,01当涂,01塘南,001徐大保,01当涂,505.1919250488281,151.61740112304688,832.9541015625,315.10943603515625,1756.334716796875,262.206298828125
