sample_id,wav_path,start_time,end_time,tone,vowel,char,pinyin,region,site,speaker_id
0712_row_00000010,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0033.wav,1.09099,1.41095,低元音,a,沙,,01当涂,01塘南,001徐大保
0712_row_00000011,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0034.wav,0.99164,1.26665,低元音,a,假,201DTtnlm10034假,01当涂,01塘南,001徐大保
0712_row_00000012,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0035.wav,1.1302,1.38455,低元音,a,嫁,201DTtnlm10035嫁,01当涂,01塘南,001徐大保
0712_row_00000013,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0041.wav,1.11469,1.36761,中低元音,ɛ,姐,201DTtnlm10041姐,01当涂,01塘南,001徐大保
0712_row_00000014,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0042.wav,0.94364,1.23208,中低元音,ɛ,借,201DTtnlm10042借,01当涂,01塘南,001徐大保
0712_row_00000015,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0043.wav,0.80327,1.07929,中低元音,ɛ,写,,01当涂,01塘南,001徐大保
0712_row_00000016,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0045.wav,0.88354,1.20527,中低元音,ɛ,谢,,01当涂,01塘南,001徐大保
0712_row_00000017,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0046.wav,0.74715,1.02138,中高元音,ə,车,201DTtnlm10046车,01当涂,01塘南,001徐大保
0712_row_00000018,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0047.wav,0.86586,1.18885,中高元音,ə,蛇,,01当涂,01塘南,001徐大保
0712_row_00000019,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0047.wav,2.56214,2.95806,中高元音,ə,蛇,,01当涂,01塘南,001徐大保
0712_row_00000020,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0048.wav,0.8123,1.14797,中高元音,ə,射,,01当涂,01塘南,001徐大保
0712_row_00000021,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0049.wav,0.7423,1.0878,中高元音,ə,爷,201DTtnlm10049爷,01当涂,01塘南,001徐大保
0712_row_00000022,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0050.wav,1.07557,1.3824,中低元音,ɛ,野,201DTtnlm10050野,01当涂,01塘南,001徐大保
0712_row_00000023,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0051.wav,0.93401,1.21316,中高元音,ə,夜,201DTtnlm10051夜,01当涂,01塘南,001徐大保
0712_row_00000024,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0052.wav,1.01625,1.30681,低元音,a,瓜,201DTtnlm10052瓜,01当涂,01塘南,001徐大保
0712_row_00000025,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0054.wav,1.02801,1.30961,低元音,a,花,201DTtnlm10054花,01当涂,01塘南,001徐大保
0712_row_00000026,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0055.wav,0.82647,1.15318,低元音,a,化,201DTtnlm10055化,01当涂,01塘南,001徐大保
0712_row_00000027,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0056.wav,0.92611,1.29294,低元音,a,华,201DTtnlm10056华,01当涂,01塘南,001徐大保
0712_row_00000028,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0058.wav,1.04334,1.30222,高元音,u,布,201DTtnlm10058布,01当涂,01塘南,001徐大保
0712_row_00000029,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0059.wav,0.96777,1.24766,高元音,u,铺,201DTtnlm10059铺,01当涂,01塘南,001徐大保
0712_row_00000030,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0060.wav,1.05157,1.31464,低元音,a,薄,201DTtnlm10060薄,01当涂,01塘南,001徐大保
0712_row_00000031,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0065.wav,0.99905,1.24806,高元音,u,杜,201DTtnlm10065杜,01当涂,01塘南,001徐大保
0712_row_00000032,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0068.wav,1.12672,1.42378,高元音,u,租,201DTtnlm10068租,01当涂,01塘南,001徐大保
0712_row_00000033,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0068.wav,2.7633,3.14835,高元音,u,租,清平精遇合一模,01当涂,01塘南,001徐大保
0712_row_00000034,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0072.wav,1.08713,1.31946,高元音,u,古,201DTtnlm10072古,01当涂,01塘南,001徐大保
0712_row_00000035,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0076.wav,1.00742,1.26958,高元音,u,五,201DTtnlm10076五,01当涂,01塘南,001徐大保
0712_row_00000036,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0079.wav,1.14828,1.43284,高元音,u,户,,01当涂,01塘南,001徐大保
0712_row_00000037,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0080.wav,0.78948,1.09998,高元音,u,乌,201DTtnlm10080乌,01当涂,01塘南,001徐大保
0712_row_00000038,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0081.wav,0.96471,1.23526,高元音,y,女,201DTtnlm10081女A,01当涂,01塘南,001徐大保
0712_row_00000039,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0081.wav,1.96152,2.30649,高元音,y,女,,01当涂,01塘南,001徐大保
0712_row_00000040,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0084.wav,1.15123,1.41729,高元音,u,猪,201DTtnlm10084猪,01当涂,01塘南,001徐大保
0712_row_00000041,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0085.wav,0.92854,1.22769,高元音,u,除,,01当涂,01塘南,001徐大保
0712_row_00000042,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0086.wav,0.91868,1.23967,高元音,u,初,,01当涂,01塘南,001徐大保
0712_row_00000043,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0087.wav,1.00832,1.36575,中高元音,o,锄,,01当涂,01塘南,001徐大保
0712_row_00000044,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0088.wav,0.59656,0.95368,高元音,u,所,,01当涂,01塘南,001徐大保
0712_row_00000045,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0089.wav,0.99856,1.36963,高元音,u,书,,01当涂,01塘南,001徐大保
0712_row_00000046,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0090.wav,0.98869,1.25437,高元音,u,鼠,201DTtnlm10090鼠,01当涂,01塘南,001徐大保
0712_row_00000047,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0092.wav,1.08152,1.36223,高元音,y,举,,01当涂,01塘南,001徐大保
0712_row_00000048,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0093.wav,1.24503,1.52603,高元音,y,锯,201DTtnlm10093锯,01当涂,01塘南,001徐大保
0712_row_00000049,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0094.wav,1.67365,1.90851,高元音,y,去,201DTtnlm10094去,01当涂,01塘南,001徐大保
0712_row_00000050,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0095.wav,1.03599,1.31913,高元音,y,渠,201DTtnlm10095渠,01当涂,01塘南,001徐大保
0712_row_00000051,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0096.wav,0.86749,1.20523,高元音,y,鱼,201DTtnlm10096鱼,01当涂,01塘南,001徐大保
0712_row_00000052,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0097.wav,0.43596,0.74853,高元音,y,许,,01当涂,01塘南,001徐大保
0712_row_00000053,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0098.wav,0.80766,1.15234,高元音,y,余,201DTtnlm10098余,01当涂,01塘南,001徐大保
0712_row_00000054,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0099.wav,0.8156,1.13785,高元音,y,府,,01当涂,01塘南,001徐大保
0712_row_00000055,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0100.wav,1.03893,1.41759,高元音,y,付,,01当涂,01塘南,001徐大保
0712_row_00000056,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0101.wav,0.62023,0.99585,高元音,y,父,,01当涂,01塘南,001徐大保
0712_row_00000057,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0102.wav,0.92958,1.21893,高元音,u,武,201DTtnlm10102武,01当涂,01塘南,001徐大保
0712_row_00000058,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0103.wav,0.99712,1.35761,高元音,y,雾,201DTtnlm10103雾,01当涂,01塘南,001徐大保
0712_row_00000059,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0104.wav,0.95853,1.28934,高元音,y,取,,01当涂,01塘南,001徐大保
0712_row_00000060,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0105.wav,0.86277,1.21325,高元音,u,柱,,01当涂,01塘南,001徐大保
0712_row_00000061,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0106.wav,1.02082,1.42635,高元音,u,住,,01当涂,01塘南,001徐大保
0712_row_00000062,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0107.wav,0.93375,1.2629,高元音,u,数,,01当涂,01塘南,001徐大保
0712_row_00000063,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0108.wav,0.97196,1.29731,高元音,u,数,,01当涂,01塘南,001徐大保
0712_row_00000064,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0109.wav,0.95051,1.19986,高元音,u,主,201DTtnlm10109主,01当涂,01塘南,001徐大保
0712_row_00000065,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0110.wav,0.72414,1.11291,高元音,u,输,,01当涂,01塘南,001徐大保
0712_row_00000066,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0111.wav,0.83412,1.14431,高元音,u,竖,,01当涂,01塘南,001徐大保
0712_row_00000067,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0112.wav,1.10374,1.42495,高元音,u,树,,01当涂,01塘南,001徐大保
0712_row_00000068,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0113.wav,0.95434,1.28558,高元音,y,句,201DTtnlm10113句,01当涂,01塘南,001徐大保
0712_row_00000069,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0114.wav,0.84795,1.22662,高元音,y,区,,01当涂,01塘南,001徐大保
0712_row_00000070,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0115.wav,1.11015,1.45971,高元音,y,遇,201DTtnlm10115遇,01当涂,01塘南,001徐大保
0712_row_00000071,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0116.wav,1.1604,1.42671,高元音,y,雨,201DTtnlm10116雨,01当涂,01塘南,001徐大保
0712_row_00000072,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0117.wav,0.9485,1.27172,高元音,y,芋,201DTtnlm10117芋,01当涂,01塘南,001徐大保
0712_row_00000073,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0120.wav,0.87592,1.19442,低元音,a,台,201DTtnlm10120台,01当涂,01塘南,001徐大保
0712_row_00000074,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0124.wav,0.82983,1.24724,低元音,a,财,201DTtnlm10124财,01当涂,01塘南,001徐大保
0712_row_00000075,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0127.wav,0.89505,1.14879,低元音,a,开,201DTtnlm10127开,01当涂,01塘南,001徐大保
0712_row_00000076,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0130.wav,1.11084,1.34025,中高元音,e,贝,201DTtnlm10130贝,01当涂,01塘南,001徐大保
0712_row_00000077,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0134.wav,0.86752,1.10054,低元音,a,拜,201DTtnlm10134拜,01当涂,01塘南,001徐大保
0712_row_00000078,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0137.wav,0.5478,0.85194,中低元音,ɛ,戒,201DTtnlm10137戒,01当涂,01塘南,001徐大保
0712_row_00000079,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0138.wav,1.21419,1.41816,低元音,a,摆,201DTtnlm10138摆,01当涂,01塘南,001徐大保
0712_row_00000080,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0145.wav,0.96118,1.2741,中低元音,ɛ,街,201DTtnlm10145街,01当涂,01塘南,001徐大保
0712_row_00000081,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0146.wav,0.8356,1.07183,中低元音,ɛ,解,201DTtnlm10146解,01当涂,01塘南,001徐大保
0712_row_00000082,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0147.wav,0.88028,1.23545,中低元音,ɛ,鞋,201DTtnlm10147鞋,01当涂,01塘南,001徐大保
0712_row_00000083,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0148.wav,0.85889,1.15065,中高元音,e,蟹,201DTtnlm10148蟹,01当涂,01塘南,001徐大保
0712_row_00000084,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0150.wav,1.0671,1.35139,低元音,a,败,201DTtnlm10150败,01当涂,01塘南,001徐大保
0712_row_00000085,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0151.wav,0.87314,1.2263,高元音,i,币,201DTtnlm10151币,01当涂,01塘南,001徐大保
0712_row_00000086,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0154.wav,0.69514,1.03636,高元音,i,艺,201DTtnlm10154艺,01当涂,01塘南,001徐大保
0712_row_00000087,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0155.wav,0.86379,1.13378,高元音,i,米,201DTtnlm10155米,01当涂,01塘南,001徐大保
0712_row_00000088,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0156.wav,0.74162,1.03867,高元音,i,低,201DTtnlm10156低,01当涂,01塘南,001徐大保
0712_row_00000089,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0157.wav,0.73639,1.05848,高元音,i,梯,201DTtnlm10157梯,01当涂,01塘南,001徐大保
0712_row_00000090,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0158.wav,0.73162,1.02786,高元音,i,剃,201DTtnlm10158剃,01当涂,01塘南,001徐大保
0712_row_00000091,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0159.wav,0.81078,1.09923,高元音,i,弟,201DTtnlm10159弟,01当涂,01塘南,001徐大保
0712_row_00000092,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0160.wav,0.91293,1.2527,高元音,i,递,201DTtnlm10160递,01当涂,01塘南,001徐大保
0712_row_00000093,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0161.wav,0.66147,1.0923,高元音,i,泥,,01当涂,01塘南,001徐大保
0712_row_00000094,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0162.wav,0.82414,1.19,高元音,i,犁,201DTtnlm10162犁,01当涂,01塘南,001徐大保
0712_row_00000095,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0163.wav,0.71866,1.16812,高元音,i,西,,01当涂,01塘南,001徐大保
0712_row_00000096,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0164.wav,0.78158,1.19073,高元音,i,洗,,01当涂,01塘南,001徐大保
0712_row_00000097,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0165.wav,0.99084,1.32637,高元音,i,鸡,201DTtnlm10165鸡,01当涂,01塘南,001徐大保
0712_row_00000098,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0166.wav,0.7809,1.19646,高元音,i,溪,,01当涂,01塘南,001徐大保
0712_row_00000099,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0168.wav,1.09645,1.54286,高元音,i,系,,01当涂,01塘南,001徐大保
0712_row_00000100,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0169.wav,0.80728,1.10087,中高元音,e,杯,201DTtnlm10169杯,01当涂,01塘南,001徐大保
0712_row_00000101,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0170.wav,0.78343,1.02703,中高元音,e,配,201DTtnlm10170配,01当涂,01塘南,001徐大保
0712_row_00000102,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0174.wav,0.86129,1.14866,中高元音,e,妹,201DTtnlm10174妹,01当涂,01塘南,001徐大保
0712_row_00000103,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0175.wav,0.85996,1.13821,高元音,u,队,201DTtnlm10175队,01当涂,01塘南,001徐大保
0712_row_00000104,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0176.wav,1.02169,1.4376,中高元音,e,雷,,01当涂,01塘南,001徐大保
0712_row_00000105,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0179.wav,0.89771,1.27939,中高元音,e,灰,,01当涂,01塘南,001徐大保
0712_row_00000106,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0180.wav,0.72982,1.14242,高元音,u,回,,01当涂,01塘南,001徐大保
0712_row_00000107,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0181.wav,0.87607,1.19851,低元音,a,外,201DTtnlm10181外,01当涂,01塘南,001徐大保
0712_row_00000108,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0182.wav,0.90448,1.21174,高元音,u,会,,01当涂,01塘南,001徐大保
0712_row_00000109,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0185.wav,0.93179,1.28668,低元音,a,怀,201DTtnlm10185怀,01当涂,01塘南,001徐大保
0712_row_00000110,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0186.wav,0.86882,1.17247,低元音,a,坏,201DTtnlm10186坏,01当涂,01塘南,001徐大保
0712_row_00000111,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0188.wav,0.91804,1.18123,低元音,a,挂,201DTtnlm10188挂,01当涂,01塘南,001徐大保
0712_row_00000112,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0189.wav,0.97488,1.32245,低元音,a,歪,,01当涂,01塘南,001徐大保
0712_row_00000113,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0190.wav,0.88497,1.19135,低元音,a,画,201DTtnlm10190画,01当涂,01塘南,001徐大保
0712_row_00000114,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0192.wav,0.8316,1.14502,低元音,a,话,201DTtnlm10192话,01当涂,01塘南,001徐大保
0712_row_00000115,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0193.wav,1.03672,1.4956,中高元音,e,岁,,01当涂,01塘南,001徐大保
0712_row_00000116,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0194.wav,0.80751,1.15428,中高元音,e,卫,201DTtnlm10194卫,01当涂,01塘南,001徐大保
0712_row_00000117,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0195.wav,0.77251,1.16206,中高元音,e,肺,,01当涂,01塘南,001徐大保
0712_row_00000118,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0196.wav,0.91686,1.1853,中高元音,e,桂,201DTtnlm10196桂,01当涂,01塘南,001徐大保
0712_row_00000119,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0197.wav,0.86135,1.14627,中高元音,e,碑,201DTtnlm10197碑,01当涂,01塘南,001徐大保
0712_row_00000120,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0198.wav,0.9169,1.28123,高元音,i,皮,,01当涂,01塘南,001徐大保
0712_row_00000121,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0202.wav,0.85677,1.26885,高元音,i,知,201DTtnlm10202知,01当涂,01塘南,001徐大保
0712_row_00000122,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0203.wav,0.66233,1.0919,高元音,i,池,,01当涂,01塘南,001徐大保
0712_row_00000123,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0204.wav,0.94681,1.2326,高元音,i,纸,201DTtnlm10204纸,01当涂,01塘南,001徐大保
0712_row_00000124,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0205.wav,0.81369,1.13159,高元音,i,儿,201DTtnlm10205儿,01当涂,01塘南,001徐大保
0712_row_00000125,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0207.wav,0.70552,1.14037,高元音,i,骑,,01当涂,01塘南,001徐大保
